User name,Service,Expiry,Download limit,Upload limit,Total limit,Uptime limit,CPE IP,CM IP,CM MAC,First name,Last name,Company,Address,City,ZIP,Country,State,Phone,Cell number,Email,Registered,Last logoff,Comment
"afroman","MB prepaid","never","600.0 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"ak47","MB prepaid","never","1.6 GB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"aksinada","Monthly 1 GB prepaid","2006-04-01","1.1 GB","1 020.0 MB","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"andrea","MB prepaid","never","2.0 GB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"annad","MB prepaid","never","103.1 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"apacs","MB prepaid","never","90.6 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"apatocki","MB prepaid","never","0 B","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"arnold","MB prepaid","never","2.6 GB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"atropos","MB prepaid","never","61.3 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"attila","Monthly 1 GB prepaid","2006-04-01","1.7 GB","2.5 GB","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"aty","MB prepaid","never","10.0 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"aurora","MB prepaid","never","656.8 MB","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"aviktor","Monthly 1 GB postpaid","2006-04-01","no limit","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"balabann","Cable 4096/1024","2015-12-31","no limit","no limit","no limit","no limit","","10.0.0.2","00:13:71:d6:ab:6e","","","","","","","","","","","","2011-10-17","",""
"balazs","Flat 768k prepaid","2006-04-01","no limit","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"bali","Monthly 1 GB postpaid","2006-04-01","no limit","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"balog","Default service","never","no limit","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"birds","Default service","never","no limit","no limit","no limit","no limit","","","","","","","","","","","","","","","2012-02-17","",""
"bjelicb","Cable 4096/1024","2015-12-31","no limit","no limit","no limit","no limit","","10.0.0.3","00:11:80:a1:9f:00","","","","","","","","","","","","2011-10-11","",""
"bjelicm","Cable 4096/1024","2015-12-31","no limit","no limit","no limit","no limit","","10.0.0.4","00:13:71:e5:8c:ae","","","","","","","","","","","","2012-02-02","",""
